Platymetopus is a genus of beetles in the family Carabidae containing the following species: Platymetopus brevilabris Laferte-Senectere 1853 Platymetopus colpophilus Alluaud 1918 Platymetopus congestulus Basilewsky 1948 Platymetopus crenulatus Chaudoir 1878 Platymetopus cribricollis Facchini 2004 Platymetopus curtulus (Peringuey 1908) Platymetopus cyaneus Facchini 2004 Platymetopus diversepunctatus Facchini 2004 Platymetopus figuratus Boheman 1848 Platymetopus flavilabris (Fabricius 1798) Platymetopus guineensis Dejean 1831 Platymetopus indicus Jedlicka 1969 Platymetopus interpunctatus Dejean 1829 Platymetopus keiseri Louwerens 1956 Platymetopus laevigatus Kuntzen 1919 Platymetopus laticeps Dejean 1829 Platymetopus lepidus Dejean 1829 Platymetopus ludificus (H.Kolbe 1883) Platymetopus majusculus Lorenz 1998 Platymetopus obscuripes Chaudoir 1878 Platymetopus pictus Andrewes 1923 Platymetopus platythorax Basilewsky 1948 Platymetopus quadrimaculatus Dejean 1829 Platymetopus quadrinotatus Burgeon 1936 Platymetopus rectangularis Burgeon 1936 Platymetopus rugosus (Nietner 1857) Platymetopus sakalava Jeannel 1948 Platymetopus schoenherri Dejean 1831 Platymetopus seriatus Chaudoir 1878 Platymetopus straeleni Basilewsky 1947 Platymetopus subrugosus Schauberger 1938 Platymetopus sudanicus Basilewsky 1967 Platymetopus tessellatus Dejean 1829 Platymetopus tibialis (H.Kolbe 1883) Platymetopus tritus Bates 1889 Platymetopus vestitus Dejean 1829 Platymetopus xanthographus (Alluaud 1916)↑	9
Sicera is a genus of moth in the family Gelechiidae.	9
Strzeczonka [stʂɛˈt͡ʂɔnka] is a village in the administrative district of Gmina Debrzno within Człuchów County Pomeranian Voivodeship in northern Poland. It lies approximately 7 kilometres (4 mi) north-west of Debrzno 16 km (10 mi) south-west of Człuchów and 130 km (81 mi) south-west of the regional capital Gdańsk.For details of the history of the region see History of Pomerania.	8
Rose Hill Manor is a historic home located at Frederick Frederick County Maryland. It is a 2 1⁄2-story brick house. A notable feature is the large two-story pedimented portico supported by fluted Doric columns on the first floor and Ionic columns on the balustraded second floor. It was the retirement home of Thomas Johnson (1732–1819) the first elected Governor of the State of Maryland and Associate Justice of the United States Supreme Court.	6
Eslamabad-e Bezahrud (Persian: اسلام اباد بزه رود‎ also Romanized as Eslāmābād-e Bezahrūd; also known as Bazrūd Bezarūd Bozeh Rūd Boz Rūd and Buzrud) is a village in Kanduleh Rural District Dinavar District Sahneh County Kermanshah Province Iran. At the 2006 census its population was 92 in 24 families.	8
Jonathan Singleton is an American country music singer and songwriter. He is known for co-writing the songs Don't by Billy Currington Watching Airplanes by Gary Allan Red Light and Let It Rain by David Nail and Why Don't We Just Dance by Josh Turner.	2
Hans-Josef Fell (born 7 January 1952 in Hammelburg) is a member of the Green Party in the German Parliament. Fell framed the German Renewable Energy legislation together with Hermann Scheer. He currently serves as spokesman on energy for the Alliance 90/The Greens parliamentary group a member of the Environmental Protection Committee substitute member of the Committee on Economics and Technology and substitute member of the Defense Committee.	4
Darlene Mealy is a member of the New York City Council representing the 41st District of Brooklyn. She took office in January 2006 and is currently serving her third consecutive term in office.	4
Air Orient was an airline based in France. Created in 1929 from the merger of Air Asie(c. 1928) and Air Union Lignes d’Orient (c. 1927 - renamed from Messageries Transaeriennes 1923) the short lived airline was merged with Air France October 7 1933.	0
Out There is a 1960 jazz album by Eric Dolphy. It was Dolphy's second album released as band leader following his time with Charles Mingus. The album features four original compositions by Dolphy one of which is a collaborative effort with Mingus. The album also features three covers Eclipse by Mingus Sketch of Melba by Randy Weston and Feathers by Hale Smith.	11
HMS Repulse was a Royal Sovereign-class pre-dreadnought battleship of the Royal Navy. She was the tenth ship to bear the name HMS Repulse. Laid down in 1890 Repulse was completed in 1894 becoming one of the world's top fighting ships at launch. Repulse was 410 feet long and had a maximum cruising speed of 17 knots.	5
Occum Hydroelectric Plant and Dam is a historic hydroelectric plant and dam north of Bridge Street on the west side of the Shetucket River in Norwich Connecticut.It masonry-concrete dam was built in 1865. It stands 14 feet high and impounds a maximum of 600 acre-feet of water. The city of Norwich's Department of Public Utilities owns the site which was added to the National Register of Historic Places in 1996.	6
GDF Suez Energy Resources NA is the retail energy subsidiary of IPR-GDF SUEZ North America Inc. . and one of the largest non-residential retail energy suppliers in the United States.GDF Suez Energy Resources currently supplies customers in 12 markets: Delaware Texas Massachusetts Maine Maryland New York New Jersey Pennsylvania Illinois Connecticut Ohio and Washington D.C.	0
Ruthie Matthes (born November 11 1965) is an American professional bicycle racer who won the World Cross-Country Mountain Bike Championship in 1991. She is also a road cyclist having twice finished in 2nd place in the Women's Challenge bicycle stage race. Ruthie is one of a series of professional riders who got their start in cycling through the Red Zinger Mini Classics youth bicycle race series in Colorado.	3
Toast Records is an independent record label based in Turin Italy.	0
The Black Camel (1929) is the fourth of the Charlie Chan novels by Earl Derr Biggers.	13
Leicestershire Law Society was formed in 1860 to support the legal profession in Leicestershire and Rutland. Today it has about 500 members who are solicitors practising in Leicester Leicestershire and Rutland. This is a good majority of solicitors and their firms in the area and the information provided on this website is therefore representative of the local profession.	0
The Wickfield Round Barn is a historic structure located near Cantril in rural Van Buren County Iowa United States. It was built in 1919 and has been listed on the National Register of Historic Places since 1986. The building measures 52 x 65 feet (15.8 x 19.8 m) around. The structure is constructed of clay tile and features an aerator. The two-pitch roof features eight dormers on the lower part and four dormers on the upper part of the roof.	6
Only the Brave is a 1994 Australian film.	12
Media Arts and Communications Academy (or MACA) is a charter school located in McMinnville Oregon United States. MACA is a small tech focused college preparatory high school option for McMinnville School District students.	1
Abeh-ye Sabzvariha (Persian: ابه سبزواريها‎ also Romanized as Ābeh-ye Sabzvārīhā; also known as Sabzevārī) is a village in Nezamabad Rural District in the Central District of Azadshahr County Golestan Province Iran. At the 2006 census its population was 703 in 163 families.	8
WeWOOD is a watch brand that manufacturers wooden watches. The brand was developed in 2009 in Italy and its trademark was registered in 2010 under the company name Fratelli Diversi. The headquarters of the company is located in Lamporecchio and a North American regional office is located in Los Angeles.According to WeWOOD the company plants a tree for every watch sold. As of December 2013 the company has planted 250000 trees in America and other countries where the watch is sold.	0
Practical Magic is a 1998 American romantic comedy film based on the 1995 novel of the same name by Alice Hoffman. The film was directed by Griffin Dunne and stars Sandra Bullock Nicole Kidman Stockard Channing Dianne Wiest Aidan Quinn and Goran Visnjic. The film score was composed by Alan Silvestri.Bullock and Kidman play sisters Sally and Gillian Owens who have always known they were different from each other.	12
Studies in Iconography is an annual peer-reviewed journal published by the Medieval Institute Publications of Western Michigan University. Since 2001 it is produced in collaboration with Princeton University's Index of Christian Art. The journal publishes articles (especially those with an interdisciplinary approach) on all aspects of iconography before 1600 and includes book reviews and thematic overviews of scholarship.	13
The London Brighton and South Coast Railway E6 Class is a class of 0-6-2Tside tank steam locomotive designed by Robert Billinton. They were introduced in 1904 and were a development of the E5 class with smaller driving wheels intended for heavy short and medium-distance freight trains.	5
Olearia myrsinoides commonly known as Silky Daisy-bush is a species of flowering plant in the family Asteraceae. It is a shrub to 1.5 metres high with toothed leaves. These are dark green above and tomentose underneath. The flowerheads have 2 to 4 white ray florets and 3 to 4 pale yellow or violet disc florets. These appear between November and March in the species native range.	10
